num_tokens,time_stamp
1,1773747361555
1,1773747361555
1,1773747361555
1,1773747361556
2,1773747361556
2,1773747361556
3,1773747361558
2,1773747361558
1,1773747361558
3,1773747361558
2,1773747361558
1,1773747361558
1,1773747361572
2,1773747361588
1,1773747361589
1,1773747361611
3,1773747361612
1,1773747361612
2,1773747361612
1,1773747361613
1,1773747361614
2,1773747361615
1,1773747361615
1,1773747361615
3,1773747361615
1,1773747361616
4,1773747361617
1,1773747361617
6,1773747361663
1,1773747361664
1,1773747361664
3,1773747361664
10,1773747361665
2,1773747361665
1,1773747361666
1,1773747361666
2,1773747361666
3,1773747361722
1,1773747361723
1,1773747361723
1,1773747361724
5,1773747361724
7,1773747361724
1,1773747361725
1,1773747361725
2,1773747361726
2,1773747361727
4,1773747361727
2,1773747361728
2,1773747361728
1,1773747361732
1,1773747361779
1,1773747361780
2,1773747361780
1,1773747361780
2,1773747361781
1,1773747361781
4,1773747361781
1,1773747361782
6,1773747361782
1,1773747361782
1,1773747361783
2,1773747361783
1,1773747361784
3,1773747361833
1,1773747361833
2,1773747361834
8,1773747361837
2,1773747361837
2,1773747361838
3,1773747361838
4,1773747361838
4,1773747361838
1,1773747361838
1,1773747361838
3,1773747361890
1,1773747361890
4,1773747361891
3,1773747361891
3,1773747361891
1,1773747361892
2,1773747361892
4,1773747361892
2,1773747361892
5,1773747361893
2,1773747361893
2,1773747361894
6,1773747361950
1,1773747361951
2,1773747361951
4,1773747361951
1,1773747361951
1,1773747361952
1,1773747361952
2,1773747361953
1,1773747361953
5,1773747361953
4,1773747361953
2,1773747361954
1,1773747361955
1,1773747361986
1,1773747361986
4,1773747362003
1,1773747362003
5,1773747362004
1,1773747362004
2,1773747362005
3,1773747362005
2,1773747362006
2,1773747362006
7,1773747362007
2,1773747362007
2,1773747362062
4,1773747362062
1,1773747362063
3,1773747362063
1,1773747362063
1,1773747362064
5,1773747362064
1,1773747362064
2,1773747362064
2,1773747362064
1,1773747362065
3,1773747362065
1,1773747362065
1,1773747362065
2,1773747362066
2,1773747362066
3,1773747362066
4,1773747362122
3,1773747362122
1,1773747362123
1,1773747362123
5,1773747362123
1,1773747362123
1,1773747362123
1,1773747362124
2,1773747362124
2,1773747362125
5,1773747362125
2,1773747362125
4,1773747362125
1,1773747362126
3,1773747362179
3,1773747362179
3,1773747362180
3,1773747362180
4,1773747362180
1,1773747362180
1,1773747362181
3,1773747362181
1,1773747362181
2,1773747362182
1,1773747362182
1,1773747362182
1,1773747362183
3,1773747362183
1,1773747362236
3,1773747362236
1,1773747362237
1,1773747362237
1,1773747362237
4,1773747362238
5,1773747362238
1,1773747362238
5,1773747362238
1,1773747362239
1,1773747362240
3,1773747362240
1,1773747362240
1,1773747362240
1,1773747362241
4,1773747362297
3,1773747362298
2,1773747362299
1,1773747362299
6,1773747362299
1,1773747362299
1,1773747362300
2,1773747362300
2,1773747362300
1,1773747362300
4,1773747362301
1,1773747362301
1,1773747362353
1,1773747362354
2,1773747362354
2,1773747362354
1,1773747362354
2,1773747362354
5,1773747362355
4,1773747362355
1,1773747362355
1,1773747362355
2,1773747362356
1,1773747362356
1,1773747362356
